"","binID","start","cata","aRead","bRead","aNorm","bNorm"
"10141","chrY_710200","  710100",3,14,34,46.6666667,68
"3674","chrY_710200","  710100",2,11,9,36.6666666,18
"19","chrY_710200","  710100",1,5,7,16.6666667,14
"10142","chrY_710300","  710200",3,17,32,51.5151515,60.3773585
"3675","chrY_710300","  710200",2,14,17,42.4242425,32.0754717
"20","chrY_710300","  710200",1,2,4,6.0606061,7.5471698
"10143","chrY_715500","  715400",3,10,10,100,100
"10144","chrY_715600","  715500",3,39,52,79.5918367,71.2328767
"3676","chrY_715600","  715500",2,10,21,20.4081633,28.7671233
"10145","chrY_716500","  716400",3,31,48,93.9393939,82.7586207
"3677","chrY_716500","  716400",2,1,3,3.030303,5.1724138
"21","chrY_716500","  716400",1,1,7,3.030303,12.0689655
"10146","chrY_718200","  718100",3,13,18,56.5217391,52.9411765
"3678","chrY_718200","  718100",2,10,16,43.4782608,47.0588235
"10147","chrY_718400","  718300",3,10,11,45.4545455,27.5
"3679","chrY_718400","  718300",2,10,24,45.4545455,60
"22","chrY_718400","  718300",1,2,5,9.0909091,12.5
"10148","chrY_719500","  719400",3,25,9,83.3333333,60
"3680","chrY_719500","  719400",2,5,6,16.6666667,40
"10149","chrY_721700","  721600",3,10,29,58.8235294,80.5555556
"3681","chrY_721700","  721600",2,7,7,41.1764706,19.4444445
"10150","chrY_725500","  725400",3,46,58,86.7924528,80.5555556
"3682","chrY_725500","  725400",2,7,14,13.2075472,19.4444444
"10151","chrY_725600","  725500",3,7,9,100,100
"10152","chrY_728700","  728600",3,37,33,58.7301587,64.7058824
"3683","chrY_728700","  728600",2,14,13,22.2222222,25.4901961
"23","chrY_728700","  728600",1,12,5,19.047619,9.8039216
"10153","chrY_730200","  730100",3,31,37,65.9574468,68.5185185
"3684","chrY_730200","  730100",2,11,17,23.4042553,31.4814815
"24","chrY_730200","  730100",1,5,0,10.6382979,0
"10154","chrY_734100","  734000",3,22,32,59.4594595,69.5652174
"3685","chrY_734100","  734000",2,11,14,29.7297297,30.4347826
"25","chrY_734100","  734000",1,4,0,10.8108108,0
"10155","chrY_734700","  734600",3,41,32,62.1212121,54.2372881
"3686","chrY_734700","  734600",2,18,18,27.2727273,30.5084745
"26","chrY_734700","  734600",1,7,9,10.6060606,15.2542373
"10156","chrY_737100","  737000",3,29,24,63.0434783,51.0638298
"3687","chrY_737100","  737000",2,15,20,32.6086957,42.5531914
"27","chrY_737100","  737000",1,2,3,4.3478261,6.3829787
"10157","chrY_741400","  741300",3,28,38,100,99.9999999
"10158","chrY_742600","  742500",3,72,84,81.8181818,80
"3688","chrY_742600","  742500",2,13,18,14.7727273,17.1428572
"28","chrY_742600","  742500",1,3,3,3.4090909,2.8571429
"10159","chrY_745500","  745400",3,37,46,90.2439024,63.0136986
"3689","chrY_745500","  745400",2,3,23,7.3170732,31.5068493
"29","chrY_745500","  745400",1,1,4,2.4390244,5.4794521
"10160","chrY_745700","  745600",3,22,37,75.862069,72.5490196
"3690","chrY_745700","  745600",2,7,14,24.137931,27.4509804
"10161","chrY_747600","  747500",3,31,33,73.8095238,55.9322034
"3691","chrY_747600","  747500",2,8,19,19.0476191,32.2033899
"30","chrY_747600","  747500",1,3,7,7.1428571,11.8644068
"10162","chrY_748800","  748700",3,28,56,71.7948718,82.3529412
"3692","chrY_748800","  748700",2,11,12,28.2051282,17.6470588
"10163","chrY_749300","  749200",3,12,14,57.1428571,46.6666667
"3693","chrY_749300","  749200",2,8,13,38.0952381,43.3333333
"31","chrY_749300","  749200",1,1,3,4.7619048,10
"10164","chrY_749500","  749400",3,28,39,77.7777778,75
"3694","chrY_749500","  749400",2,6,8,16.6666667,15.3846154
"32","chrY_749500","  749400",1,2,5,5.5555556,9.6153846
"10165","chrY_751700","  751600",3,53,44,75.7142857,69.8412698
"3695","chrY_751700","  751600",2,17,19,24.2857143,30.1587302
"10166","chrY_752000","  751900",3,58,84,92.0634921,80.7692308
"3696","chrY_752000","  751900",2,3,9,4.7619048,8.6538462
"33","chrY_752000","  751900",1,2,11,3.1746032,10.5769231
"10167","chrY_752400","  752300",3,34,37,99.9999999,100
"10168","chrY_753100","  753000",3,51,69,94.4444444,84.1463415
"3697","chrY_753100","  753000",2,3,13,5.5555556,15.8536586
"10169","chrY_753200","  753100",3,6,8,60,47.0588235
"3698","chrY_753200","  753100",2,4,9,40,52.9411765
"10170","chrY_754100","  754000",3,11,18,64.7058824,81.8181818
"3699","chrY_754100","  754000",2,6,4,35.2941177,18.1818181
"10171","chrY_754200","  754100",3,8,14,72.7272727,93.3333333
"3700","chrY_754200","  754100",2,3,1,27.2727273,6.6666667
"10172","chrY_760500","  760400",3,37,40,84.0909091,75.4716981
"3701","chrY_760500","  760400",2,1,5,2.2727273,9.4339623
"34","chrY_760500","  760400",1,6,8,13.6363636,15.0943396
"10173","chrY_763800","  763700",3,49,43,80.3278689,71.6666667
"3702","chrY_763800","  763700",2,12,17,19.6721311,28.3333334
"10174","chrY_763900","  763800",3,17,34,58.6206897,72.3404255
"3703","chrY_763900","  763800",2,12,13,41.3793103,27.6595744
"10175","chrY_776000","  775900",3,18,21,39.1304348,56.7567568
"3704","chrY_776000","  775900",2,26,11,56.5217392,29.7297297
"35","chrY_776000","  775900",1,2,5,4.3478261,13.5135135
"10176","chrY_777800","  777700",3,42,18,55.2631579,25.7142857
"3705","chrY_777800","  777700",2,27,45,35.5263158,64.2857143
"36","chrY_777800","  777700",1,7,7,9.2105263,10
"10177","chrY_778300","  778200",3,21,25,53.8461538,75.7575758
"3706","chrY_778300","  778200",2,15,5,38.4615384,15.1515152
"37","chrY_778300","  778200",1,3,3,7.6923077,9.0909091
"10178","chrY_780800","  780700",3,39,45,73.5849057,66.1764706
"3707","chrY_780800","  780700",2,7,20,13.2075472,29.4117647
"38","chrY_780800","  780700",1,7,3,13.2075472,4.4117647
"10179","chrY_781500","  781400",3,8,10,80,76.9230769
"39","chrY_781500","  781400",1,2,3,20,23.0769231
"10180","chrY_782000","  781900",3,35,63,70,84
"3708","chrY_782000","  781900",2,13,8,26,10.6666667
"40","chrY_782000","  781900",1,2,4,4,5.3333333
"10181","chrY_783000","  782900",3,41,51,70.6896552,89.4736842
"3709","chrY_783000","  782900",2,14,4,24.137931,7.0175439
"41","chrY_783000","  782900",1,3,2,5.1724138,3.5087719
"10182","chrY_783400","  783300",3,26,29,60.4651163,50.877193
"3710","chrY_783400","  783300",2,13,17,30.2325582,29.8245614
"42","chrY_783400","  783300",1,4,11,9.3023256,19.2982456
"10183","chrY_784400","  784300",3,27,29,56.25,60.4166667
"3711","chrY_784400","  784300",2,15,14,31.25,29.1666666
"43","chrY_784400","  784300",1,6,5,12.5,10.4166667
"10184","chrY_789400","  789300",3,40,80,75.4716981,81.6326531
"3712","chrY_789400","  789300",2,13,18,24.5283019,18.3673469
"10185","chrY_791900","  791800",3,7,16,63.6363636,84.2105263
"3713","chrY_791900","  791800",2,4,3,36.3636364,15.7894737
"10186","chrY_792800","  792700",3,4,8,20,28.5714286
"3714","chrY_792800","  792700",2,9,12,45,42.8571429
"44","chrY_792800","  792700",1,7,8,35,28.5714286
"10187","chrY_797500","  797400",3,11,15,100,100
"10188","chrY_800000","  799900",3,54,77,83.0769231,81.9148936
"3715","chrY_800000","  799900",2,11,17,16.9230769,18.0851064
"10189","chrY_802100","  802000",3,32,36,55.1724138,52.173913
"3716","chrY_802100","  802000",2,24,30,41.3793103,43.4782609
"45","chrY_802100","  802000",1,2,3,3.4482759,4.3478261
"10190","chrY_808200","  808100",3,40,40,83.3333333,83.3333333
"3717","chrY_808200","  808100",2,8,8,16.6666667,16.6666666
"10191","chrY_808600","  808500",3,1,4,1.4925373,3.4782609
"3718","chrY_808600","  808500",2,5,19,7.4626866,16.5217391
"46","chrY_808600","  808500",1,61,92,91.0447761,80
"47","chrY_809300","  809200",1,22,33,100,100
"48","chrY_809600","  809500",1,74,63,100,100
"10192","chrY_809900","  809800",3,5,1,9.0909091,1.2195122
"3719","chrY_809900","  809800",2,9,6,16.3636364,7.3170732
"49","chrY_809900","  809800",1,41,75,74.5454545,91.4634146
"10193","chrY_818100","  818000",3,44,63,83.0188679,87.5
"3720","chrY_818100","  818000",2,5,8,9.4339623,11.1111111
"50","chrY_818100","  818000",1,4,1,7.5471698,1.3888889
"10194","chrY_818800","  818700",3,8,13,100,100
"10195","chrY_820100","  820000",3,31,37,83.7837838,74
"3721","chrY_820100","  820000",2,6,13,16.2162162,26
"10196","chrY_820600","  820500",3,45,81,54.8780488,77.1428571
"3722","chrY_820600","  820500",2,34,22,41.4634147,20.952381
"51","chrY_820600","  820500",1,3,2,3.6585366,1.9047619
"10197","chrY_821000","  820900",3,32,33,58.1818182,56.8965517
"3723","chrY_821000","  820900",2,12,22,21.8181818,37.9310344
"52","chrY_821000","  820900",1,11,3,20,5.1724138
"10198","chrY_821200","  821100",3,9,11,64.2857143,73.3333333
"3724","chrY_821200","  821100",2,5,4,35.7142857,26.6666667
"10199","chrY_822300","  822200",3,27,36,75,83.7209302
"3725","chrY_822300","  822200",2,9,7,25,16.2790698
"10200","chrY_825700","  825600",3,53,34,71.6216216,60.7142857
"3726","chrY_825700","  825600",2,16,18,21.6216217,32.1428571
"53","chrY_825700","  825600",1,5,4,6.7567568,7.1428571
"10201","chrY_826000","  825900",3,51,58,71.8309859,77.3333333
"3727","chrY_826000","  825900",2,17,15,23.9436619,20
"54","chrY_826000","  825900",1,3,2,4.2253521,2.6666667
"10202","chrY_826900","  826800",3,16,24,61.5384615,57.1428571
"3728","chrY_826900","  826800",2,10,14,38.4615385,33.3333333
"55","chrY_826900","  826800",1,0,4,0,9.5238095
"10203","chrY_828700","  828600",3,32,48,58.1818182,63.1578947
"3729","chrY_828700","  828600",2,19,20,34.5454545,26.3157895
"56","chrY_828700","  828600",1,4,8,7.2727273,10.5263158
"10204","chrY_828900","  828800",3,28,39,63.6363636,79.5918367
"3730","chrY_828900","  828800",2,10,8,22.7272727,16.3265306
"57","chrY_828900","  828800",1,6,2,13.6363636,4.0816327
"10205","chrY_829100","  829000",3,10,6,71.4285714,54.5454545
"3731","chrY_829100","  829000",2,3,2,21.4285714,18.1818182
"58","chrY_829100","  829000",1,1,3,7.1428571,27.2727273
"10206","chrY_829500","  829400",3,31,28,86.1111111,84.8484848
"3732","chrY_829500","  829400",2,5,5,13.8888889,15.1515152
"10207","chrY_846900","  846800",3,18,27,46.1538462,51.9230769
"3733","chrY_846900","  846800",2,16,20,41.025641,38.4615385
"59","chrY_846900","  846800",1,5,5,12.8205128,9.6153846
"10208","chrY_847100","  847000",3,28,30,66.6666667,58.8235294
"3734","chrY_847100","  847000",2,14,21,33.3333333,41.1764706
"10209","chrY_847200","  847100",3,59,70,81.9444444,76.0869565
"3735","chrY_847200","  847100",2,12,17,16.6666667,18.4782609
"60","chrY_847200","  847100",1,1,5,1.3888889,5.4347826
"10210","chrY_847600","  847500",3,54,62,78.2608696,76.5432099
"3736","chrY_847600","  847500",2,15,19,21.7391304,23.4567901
"10211","chrY_847700","  847600",3,19,23,59.375,62.1621622
"3737","chrY_847700","  847600",2,13,14,40.625,37.8378378
"10212","chrY_847900","  847800",3,27,38,72.972973,66.6666667
"3738","chrY_847900","  847800",2,10,19,27.027027,33.3333333
"10213","chrY_848100","  848000",3,39,47,56.5217391,54.6511628
"3739","chrY_848100","  848000",2,25,28,36.2318841,32.5581396
"61","chrY_848100","  848000",1,5,11,7.2463768,12.7906977
"10214","chrY_854900","  854800",3,37,51,77.0833333,85
"3740","chrY_854900","  854800",2,7,6,14.5833333,10
"62","chrY_854900","  854800",1,4,3,8.3333333,5
"10215","chrY_855000","  854900",3,35,26,56.4516129,56.5217391
"3741","chrY_855000","  854900",2,17,14,27.4193549,30.4347826
"63","chrY_855000","  854900",1,10,6,16.1290323,13.0434783
"10216","chrY_855700","  855600",3,15,31,50,56.3636364
"3742","chrY_855700","  855600",2,11,24,36.6666667,43.6363637
"64","chrY_855700","  855600",1,4,0,13.3333333,0
"10217","chrY_856800","  856700",3,43,66,72.8813559,73.3333333
"3743","chrY_856800","  856700",2,13,14,22.0338983,15.5555556
"65","chrY_856800","  856700",1,3,10,5.0847458,11.1111111
"10218","chrY_857400","  857300",3,35,52,57.3770492,72.2222222
"3744","chrY_857400","  857300",2,17,19,27.8688524,26.3888889
"66","chrY_857400","  857300",1,9,1,14.7540984,1.3888889
"10219","chrY_857900","  857800",3,16,36,100,100
"10220","chrY_858300","  858200",3,19,38,100,99.9999999
"10221","chrY_859900","  859800",3,42,53,58.3333333,55.2083333
"3745","chrY_859900","  859800",2,27,40,37.5,41.6666666
"67","chrY_859900","  859800",1,3,3,4.1666667,3.125
"10222","chrY_860200","  860100",3,25,20,65.7894737,47.6190476
"3746","chrY_860200","  860100",2,6,16,15.7894737,38.0952381
"68","chrY_860200","  860100",1,7,6,18.4210526,14.2857143
"10223","chrY_861000","  860900",3,29,56,99.9999999,100
"10224","chrY_861400","  861300",3,60,58,73.1707317,67.4418605
"3747","chrY_861400","  861300",2,20,24,24.3902439,27.9069768
"69","chrY_861400","  861300",1,2,4,2.4390244,4.6511628
"10225","chrY_861500","  861400",3,52,57,76.4705882,77.027027
"3748","chrY_861500","  861400",2,14,15,20.5882353,20.2702704
"70","chrY_861500","  861400",1,2,2,2.9411765,2.7027027
"10226","chrY_862200","  862100",3,32,52,66.6666667,81.25
"3749","chrY_862200","  862100",2,16,12,33.3333333,18.75
"10227","chrY_862600","  862500",3,21,21,91.3043478,70
"3750","chrY_862600","  862500",2,2,9,8.6956522,30
"10228","chrY_863400","  863300",3,45,67,70.3125,80.7228916
"3751","chrY_863400","  863300",2,19,16,29.6875,19.2771084
"10229","chrY_863700","  863600",3,51,55,76.119403,72.3684211
"3752","chrY_863700","  863600",2,9,17,13.4328359,22.3684211
"71","chrY_863700","  863600",1,7,4,10.4477612,5.2631579
"10230","chrY_864000","  863900",3,27,34,100,100
"10231","chrY_864900","  864800",3,20,17,95.2380952,80.952381
"3753","chrY_864900","  864800",2,1,4,4.7619048,19.047619
"10232","chrY_865200","  865100",3,28,26,71.7948718,56.5217391
"3754","chrY_865200","  865100",2,6,19,15.3846154,41.3043478
"72","chrY_865200","  865100",1,5,1,12.8205128,2.173913
"10233","chrY_865300","  865200",3,36,52,73.4693878,80
"3755","chrY_865300","  865200",2,13,13,26.5306123,20
"10234","chrY_866200","  866100",3,5,12,29.4117647,48
"3756","chrY_866200","  866100",2,8,6,47.0588235,24
"73","chrY_866200","  866100",1,4,7,23.5294118,28
"10235","chrY_866900","  866800",3,21,40,39.6226415,57.1428571
"3757","chrY_866900","  866800",2,26,27,49.0566038,38.5714285
"74","chrY_866900","  866800",1,6,3,11.3207547,4.2857143
"10236","chrY_867700","  867600",3,19,18,100,100
"10237","chrY_868200","  868100",3,39,50,73.5849057,75.7575758
"3758","chrY_868200","  868100",2,13,11,24.5283019,16.6666667
"75","chrY_868200","  868100",1,1,5,1.8867925,7.5757576
"76","chrY_873000","  872900",1,27,35,100,100
"3759","chrY_873300","  873200",2,2,5,6.6666667,14.7058824
"77","chrY_873300","  873200",1,28,29,93.3333334,85.2941176
"10238","chrY_873600","  873500",3,1,3,20,17.6470588
"3760","chrY_873600","  873500",2,3,3,60,17.6470588
"78","chrY_873600","  873500",1,1,11,20,64.7058824
"10239","chrY_874500","  874400",3,20,17,100,100
"10240","chrY_875000","  874900",3,20,30,50,60
"3761","chrY_875000","  874900",2,10,14,25,28
"79","chrY_875000","  874900",1,10,6,25,12
"10241","chrY_876700","  876600",3,22,31,95.6521739,91.1764706
"80","chrY_876700","  876600",1,1,3,4.3478261,8.8235294
"10242","chrY_877200","  877100",3,56,46,78.8732394,68.6567164
"3762","chrY_877200","  877100",2,15,21,21.1267606,31.3432836
"10243","chrY_878000","  877900",3,37,47,69.8113208,52.2222222
"3763","chrY_878000","  877900",2,12,31,22.6415095,34.4444444
"81","chrY_878000","  877900",1,4,12,7.5471698,13.3333333
"10244","chrY_878100","  878000",3,47,66,60.2564103,52.3809524
"3764","chrY_878100","  878000",2,19,42,24.3589743,33.3333333
"82","chrY_878100","  878000",1,12,18,15.3846154,14.2857143
"10245","chrY_879700","  879600",3,48,43,58.5365854,42.5742574
"3765","chrY_879700","  879600",2,28,45,34.1463415,44.5544555
"83","chrY_879700","  879600",1,6,13,7.3170732,12.8712871
"10246","chrY_880600","  880500",3,20,36,51.2820513,62.0689655
"3766","chrY_880600","  880500",2,19,22,48.7179487,37.9310345
"10247","chrY_883100","  883000",3,46,74,68.6567164,64.9122807
"3767","chrY_883100","  883000",2,18,34,26.8656716,29.8245614
"84","chrY_883100","  883000",1,3,6,4.4776119,5.2631579
"10248","chrY_884500","  884400",3,73,107,93.5897436,91.4529915
"3768","chrY_884500","  884400",2,5,10,6.4102564,8.5470086
"10249","chrY_885000","  884900",3,22,18,100,100
"10250","chrY_885100","  885000",3,18,31,100,100.0000001
"10251","chrY_885200","  885100",3,48,46,100,99.9999999
"10252","chrY_885400","  885300",3,73,107,83.908046,91.4529915
"3769","chrY_885400","  885300",2,14,10,16.091954,8.5470085
"10253","chrY_890300","  890200",3,16,23,88.8888889,92
"3770","chrY_890300","  890200",2,2,2,11.1111111,8
"10254","chrY_890500","  890400",3,64,52,95.5223881,85.2459016
"3771","chrY_890500","  890400",2,3,9,4.4776119,14.7540984
"10255","chrY_890900","  890800",3,32,56,94.1176471,90.3225806
"3772","chrY_890900","  890800",2,2,6,5.882353,9.6774194
"10256","chrY_891300","  891200",3,16,24,61.5384615,68.5714286
"3773","chrY_891300","  891200",2,9,8,34.6153846,22.8571429
"85","chrY_891300","  891200",1,1,3,3.8461538,8.5714286
"10257","chrY_891400","  891300",3,16,31,55.1724138,79.4871795
"3774","chrY_891400","  891300",2,8,2,27.5862069,5.1282051
"86","chrY_891400","  891300",1,5,6,17.2413793,15.3846154
"10258","chrY_893200","  893100",3,25,36,65.7894737,76.5957447
"3775","chrY_893200","  893100",2,13,11,34.2105263,23.4042553
"10259","chrY_895400","  895300",3,64,65,90.1408451,87.8378378
"3776","chrY_895400","  895300",2,7,9,9.8591549,12.1621622
"10260","chrY_897000","  896900",3,40,57,78.4313725,78.0821918
"3777","chrY_897000","  896900",2,6,14,11.7647059,19.1780822
"87","chrY_897000","  896900",1,5,2,9.8039216,2.739726
"10261","chrY_897100","  897000",3,21,36,38.8888889,42.8571429
"3778","chrY_897100","  897000",2,19,22,35.1851852,26.1904762
"88","chrY_897100","  897000",1,14,26,25.9259259,30.952381
"89","chrY_897900","  897800",1,28,32,100,100
"90","chrY_898100","  898000",1,32,40,100,100
"10262","chrY_900000","  899900",3,59,41,93.6507937,82
"3779","chrY_900000","  899900",2,1,6,1.5873016,12
"91","chrY_900000","  899900",1,3,3,4.7619048,6
"10263","chrY_903200","  903100",3,34,44,80.952381,75.862069
"3780","chrY_903200","  903100",2,6,12,14.2857142,20.6896552
"92","chrY_903200","  903100",1,2,2,4.7619048,3.4482759
"10264","chrY_905300","  905200",3,37,39,86.0465116,73.5849057
"3781","chrY_905300","  905200",2,6,14,13.9534884,26.4150944
"10265","chrY_905700","  905600",3,13,8,100,100
"10266","chrY_905800","  905700",3,38,57,99.9999999,100
"10267","chrY_909100","  909000",3,30,51,85.7142857,89.4736842
"3782","chrY_909100","  909000",2,5,6,14.2857143,10.5263158
"10268","chrY_910900","  910800",3,16,27,61.5384615,96.4285714
"3783","chrY_910900","  910800",2,10,1,38.4615385,3.5714286
"10269","chrY_912000","  911900",3,31,27,91.1764706,77.1428571
"3784","chrY_912000","  911900",2,3,8,8.8235294,22.8571429
"10270","chrY_914100","  914000",3,55,66,87.3015873,80.4878049
"3785","chrY_914100","  914000",2,8,16,12.6984128,19.5121952
"10271","chrY_914200","  914100",3,29,41,72.5,87.2340426
"3786","chrY_914200","  914100",2,11,6,27.5,12.7659575
"10272","chrY_916300","  916200",3,58,47,86.5671642,92.1568627
"3787","chrY_916300","  916200",2,6,2,8.9552239,3.9215686
"93","chrY_916300","  916200",1,3,2,4.4776119,3.9215686
"10273","chrY_919000","  918900",3,42,37,80.7692308,80.4347826
"3788","chrY_919000","  918900",2,10,9,19.2307692,19.5652174
"10274","chrY_919100","  919000",3,16,24,100,100
"10275","chrY_920100","  920000",3,56,60,83.5820896,83.3333333
"3789","chrY_920100","  920000",2,11,12,16.4179105,16.6666667
"10276","chrY_924400","  924300",3,44,34,86.2745098,85
"3790","chrY_924400","  924300",2,7,6,13.7254902,15
"10277","chrY_924600","  924500",3,39,32,88.6363636,69.5652174
"3791","chrY_924600","  924500",2,5,14,11.3636364,30.4347826
"10278","chrY_925600","  925500",3,11,14,73.3333333,93.3333333
